source_label,source,target_label,target
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/imaging/is/AM02-0165a
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,"High Quality",https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/296/HIGH_QUALITY_DISPLAY
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0201,handrit.is,https://handrit.is/is/
Browse,https://handrit.is/en/manuscript/browse/uniform,"Auðnubraut æskunnar (2)",https://handrit.is/en/manuscript/list/uniform?v=Au%C3%B0nubraut+%C3%A6skunnar
"Canon law",https://handrit.is/en/manuscript/list/keyword/klog,Statistics,https://handrit.is/en/statistics
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM08-265,"Sækja XML færslu",https://handrit.is/is/manuscript/xml/AM08-265-en.xml
"Katalog over Den Arnamagnæanske Håndskriftsamling",https://handrit.is/en/bibliography/view/KKKat,,https://handrit.is/en/bibliography/view.outputassociatedmanuscripts.associated_manuscripts.columns:sort/shelfmark?t:ac=KKKat
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v#content
Browse,https://handrit.is/en/manuscript/browse/uniform,"Andlátsfregn séra Lárus Mikael Sigmundsson Johnsen",https://handrit.is/en/manuscript/list/uniform?v=Andl%C3%A1tsfregn+s%C3%A9ra+L%C3%A1rus+Mikael+Sigmundsson+Johnsen
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask115,«,https://handrit.is/is/manuscript/view/en/Rask114
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0200,,https://handrit.is/is/manuscript/view.outerlayout.language/en?t:ac=en/AM02-0200
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM04-0353,Hjem,https://handrit.is/da/
"More Details",https://handrit.is/en/biography/view/ArnMag001,10,https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/10?t:ac=ArnMag001
"Sweriges Gamla Lagar 11",https://handrit.is/en/bibliography/view/CorpJur11,,https://handrit.is/en/bibliography/view.outerlayout.language/da?t:ac=CorpJur11
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur10
"More Details",https://handrit.is/en/biography/view/RasRas001,,https://handrit.is/en/manuscript/view/is/JS04-0401-II
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0200,Heim,https://handrit.is/is/
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM08-265,handrit.is,https://handrit.is/is/
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_7,"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5
"Nine Articles passed by King Gustav and the Cou...",https://handrit.is/en/manuscript/view/AM04-0046#section_8,Standard,https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/53/WEB_DISPLAY
handrit.is,https://handrit.is/en/,"Lbs 72 4to",https://handrit.is/en/manuscript/view/is/Lbs04-0072
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/view/is/AM02-0164h
«,https://handrit.is/en/manuscript/view/en/AM02-020-h,»,https://handrit.is/en/manuscript/view/en/AM02-0200
Laws,https://handrit.is/en/manuscript/list/keyword/log,6,https://handrit.is/en/manuscript/list.browser.pager/6?t:ac=keyword/log
"No Title",https://handrit.is/en/manuscript/view/AM02-0201#section_1,Statistics,https://handrit.is/en/statistics
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,«,https://handrit.is/en/manuscript/view/en/AM04-0045
Browse,https://handrit.is/en/manuscript/browse/uniform,"Ad nonam",https://handrit.is/en/manuscript/list/uniform?v=Ad+nonam
,https://handrit.is/en/manuscript/list/keyword/sagnfr,"Show All",https://handrit.is/en/manuscript/list/keyword/sagnfr?showall.browser=1
