source,label_s,target,label_t
Vadstena kloster,100098.xml,https://www.manuscripta.se/org/100005,TTT: Text till tiden! Medeltida texter i kontext – då och nu
Vadstena kloster,100098.xml,https://www.manuscripta.se/org/100003,Riksbankens jubileumsfond
Vadstena kloster,100098.xml,https://www.manuscripta.se/org/100006,Kungl. Vitterhets Historie och Antikvitets Akademien
Vadstena kloster,100098.xml,http://www.manuscripta.se/persons/100380,Patrik Granholm
Vadstena kloster,100098.xml,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
